cruise_id,station,lat_dec,lon_dec,station_type
WS21093,19,24.6095,81.4193,F
WS21151,19,24.6095,81.4216,F
WS21212,19,24.6097,81.4222,F
WS21278,19,24.6099,81.4198,F
WS21338,19,24.6096,81.4209,F
WS22022,19,24.6093,81.421,F
WS22072,19,24.609,81.4207,F
WS22141,19,24.5935,81.4203,F
WB22215,19,24.604,81.418,F
WS22281,19,24.6101,81.4208,F
WS22337,19,24.6059,81.421,F
WS23011,19,24.6099,81.4205,F
WS23061,19,24.609,81.4215,F
HG23138,19,24.6096,81.4206,F
WS23203,19,24.609,81.4212,F
WS23259,19,24.6094,81.4212,F
HG23314,19,24.6102,81.422,F
HG24013,19,24.6092,81.4201,F
HG24062,19,24.6042,81.4216,F
WS24139,19,24.609,81.4196,F
WS24205,19,24.6101,81.4216,F
WS24258,19,24.6095,81.4202,F
WS24314,19,24.6086,81.4202,F
WS14335,2,25.6415,80.1042,F
WS15103,2,25.6434,80.0997,F
WS15148,2,25.6417,80.1038,C
WS15208,2,25.6407,80.104,C
WS15264,2,25.642,80.1029,F
WS15320,2,25.6399,80.1051,F
WS16004,2,25.6405,80.103,C
WS16074,2,25.6435,80.1044,C
WS16130,2,25.641,80.1053,C
WS16207,2,25.6416,80.1047,C
WS16263,2,25.6414,80.1047,C
WS16319,2,25.6418,80.1048,C
WS17030,2,25.642,80.1035,C
WS17086,2,25.6428,80.1061,F
WS17170,2,25.642,80.105,F
WS17212,2,25.6421,80.1054,C
WS17282,2,25.6414,80.1401,C
WS18008,2,25.6411,80.1042,F
SV18067,2,25.6424,80.104,C
WS18120,2,25.6419,80.1057,C
SV18173,2,25.6421,80.1044,C
WS18218,2,25.6421,80.1044,C
WS18285,2,25.642,80.1043,C
WS18351,2,25.6421,80.1042,C
WS19119,2,25.6408,80.104,C
WS19210,2,25.6417,80.1055,C
WS19266,2,25.6402,80.105,C
WS19322,2,25.6408,80.1038,C
WS20006,2,25.6393,80.1042,C
WS20231,2,25.6415,80.1037,C
WS20279,2,25.6418,80.1047,C
WS20342,2,25.6403,80.1043,C
WS21032,2,25.6418,80.1055,F
WS21093,2,25.6412,80.1047,C
WS21151,2,25.6408,80.1034,C
WS21212,2,25.6423,80.1043,C
WS21278,2,25.6428,80.1055,C
WS21338,2,25.6421,80.1059,C
WS22022,2,25.6407,80.1044,C
WS22072,2,25.6418,80.1056,C
WS22141,2,25.6432,80.1064,C
WB22215,2,25.6416,80.1044,C
WS22281,2,25.6385,80.1077,C
WS22337,2,25.6411,80.1005,C
WS23011,2,25.6428,80.1057,C
WS23061,2,25.6425,80.1042,C
HG23138,2,25.6422,80.1051,C
WS23203,2,25.6423,80.1031,C
WS23259,2,25.6431,80.1038,C
HG23314,2,25.6419,80.1048,C
HG24062,2,25.6426,80.1056,C
WS24139,2,25.6428,80.1037,C
WS24205,2,25.6444,80.1054,C
WS24258,2,25.6415,80.1041,C
WS24314,2,25.6417,80.1059,C
WS14335,20,24.5743,81.4185,F
WS15103,20,24.5731,81.4187,F
WS15148,20,24.5729,81.4184,F
WS15208,20,24.5754,81.4186,F
WS15264,20,24.5734,81.4182,F
WS15320,20,24.5732,81.4185,F
WS16004,20,24.5736,81.4181,F
WS16074,20,24.5669,81.4176,F
WS16130,20,24.5507,81.4305,F
WS16207,20,24.5722,81.4184,F
WS16263,20,24.5751,81.4183,F
WS16319,20,24.5743,81.4182,F
WS17030,20,24.5748,81.418,F
WS17086,20,24.573,81.4172,F
WS17170,20,24.5742,81.4186,F
WS17212,20,24.575,81.4182,F
