cruise_id,station,latitude,longitude
WS16319,9,24.7631666666667,-80.7235
WS17030,9,24.7615,-80.7226666666667
WS17086,9,24.762,-80.7233333333333
WS17212,9,24.7636666666667,-80.7195
WS17282,9,24.764,-80.7243333333333
WS18008,9,24.7633333333333,-80.7258333333333
WS18120,9,24.7611666666667,-80.725
WS18218,9,24.7635,-80.7265
WS18285,9,24.7628333333333,-80.724
WS18351,9,24.763,-80.7221666666667
WS19119,9,24.7621666666667,-80.7268333333333
WS19210,9,24.7636666666667,-80.7243333333333
WS19266,9,24.7628333333333,-80.7245
WS19322,9,24.7625,-80.7231666666667
WS20006,9,24.7611666666667,-80.7246666666667
WS20231,9,24.7631666666667,-80.722
SAV1803,9.5,24.7148333333333,-80.6911666666667
SAV18173,9.5,24.7163333333333,-80.6868333333333
WS0603,9.5,24.7163333333333,-80.6893333333333
WS0612,9.5,24.7156666666667,-80.691
WS0618,9.5,24.7163333333333,-80.6871666666667
WS0704,9.5,24.7223333333333,-80.6873333333333
WS0718,9.5,24.7171666666667,-80.6918333333333
WS0802,9.5,24.7178333333333,-80.6883333333333
WS0807,9.5,24.7171666666667,-80.6893333333333
WS0901,9.5,24.7155,-80.6906666666667
WS0906,9.5,24.7166666666667,-80.6903333333333
WS0919,9.5,24.7181666666667,-80.6916666666667
WS0923,9.5,24.7143333333333,-80.6906666666667
WS1004,9.5,24.7181666666667,-80.688
WS1007,9.5,24.7196666666667,-80.6888333333333
WS1015,9.5,24.7158333333333,-80.6915
WS1018,9.5,24.717,-80.6911666666667
WS1102,9.5,24.7165,-80.6895
WS1106,9.5,24.7196666666667,-80.6875
WS1113,9.5,24.7171666666667,-80.6893333333333
WS1116,9.5,24.7163333333333,-80.6888333333333
WS1202,9.5,24.7178333333333,-80.6906666666667
WS1207,9.5,24.7165,-80.6906666666667
WS1212,9.5,24.7173333333333,-80.6926666666667
WS15103,9.5,24.7176666666667,-80.6885
WS15152,9.5,24.7171666666667,-80.689
WS15208,9.5,24.7153333333333,-80.6885
WS15264,9.5,24.7141666666667,-80.687
WS15320,9.5,24.7185,-80.69
WS16004,9.5,24.713,-80.6901666666667
WS16207,9.5,24.7178333333333,-80.6888333333333
WS16263,9.5,24.7158333333333,-80.689
WS16319,9.5,24.7141666666667,-80.691
WS17030,9.5,24.7158333333333,-80.6886666666667
WS17086,9.5,24.7176666666667,-80.6888333333333
WS17212,9.5,24.72,-80.6881666666667
WS17282,9.5,24.724,-80.6888333333333
WS18008,9.5,24.7173333333333,-80.6921666666667
WS18218,9.5,24.717,-80.6956666666667
WS18351,9.5,24.7148333333333,-80.6891666666667
WS19119,9.5,24.7173333333333,-80.6905
WS19210,9.5,24.7161666666667,-80.6873333333333
WS19266,9.5,24.7163333333333,-80.6893333333333
WS19322,9.5,24.7151666666667,-80.689
WS20006,9.5,24.7126666666667,-80.6901666666667
WS20231,9.5,24.7176666666667,-80.6886666666667
WS15208,9.6,24.6638333333333,-80.6556666666667
WS15208,9.7,24.5831666666667,-80.6095
WS15208,9.8,24.4668333333333,-80.5253333333333
WS0914,95,24.7205,-80.687
WS18351,9B,24.7628333333333,-80.7233333333333
WS21151,AMI1,27.4936666666667,-82.7506666666667
WS21212,AMI1,27.4988333333333,-82.7511666666667
WS22281,AMI1,27.4961666666667,-82.7508333333333
WS21151,AMI2,27.4605,-82.845
WS21212,AMI2,27.4595,-82.844
WS22281,AMI2,27.4578333333333,-82.8451666666667
WS21151,AMI3,27.423,-82.9413333333333
WS21212,AMI3,27.4216666666667,-82.9363333333333
WS22281,AMI3,27.4205,-82.9375
WS21151,AMI4,27.3826666666667,-83.0338333333333
WS21212,AMI4,27.3821666666667,-83.0311666666667
WS22281,AMI4,27.3798333333333,-83.0328333333333
WS21151,AMI5,27.3448333333333,-83.13
WS21212,AMI5,27.3441666666667,-83.1256666666667
WS22281,AMI5,27.341,-83.1265
WS21151,AMI6,27.3046666666667,-83.223
WS21212,AMI6,27.3053333333333,-83.2206666666667
WS22281,AMI6,27.3013333333333,-83.2226666666667
WS21151,AMI7,27.2655,-83.3176666666667
WS21212,AMI7,27.2671666666667,-83.3141666666667
WS22281,AMI7,27.2651666666667,-83.3203333333333
WS21151,AMI8,27.2275,-83.4101666666667
WS21212,AMI8,27.2285,-83.4096666666667
WS22281,AMI8,27.2275,-83.4121666666667
WS21151,AMI9,27.1885,-83.5056666666667
WS21212,AMI9,27.1893333333333,-83.5025
WS22281,AMI9,27.1875,-83.5028333333333
WS21151,BG1,26.7193333333333,-82.2466666666667
WS21212,BG1,26.7198333333333,-82.2486666666667
WS22281,BG1,26.713,-82.2593333333333
WS19266,BG2,26.6891666666667,-82.3408333333333
WS19322,BG2,26.6853333333333,-82.3398333333333
WS20006,BG2,26.6838333333333,-82.3411666666667
WS20231,BG2,26.6911666666667,-82.34
WS21151,BG2,26.6895,-82.3393333333333
WS21212,BG2,26.6888333333333,-82.3388333333333
WS22281,BG2,26.6853333333333,-82.339
WS19266,BG3,26.6675,-82.416
WS19322,BG3,26.6631666666667,-82.4173333333333
WS20231,BG3,26.6728333333333,-82.4175
WS21151,BG3,26.6695,-82.418
WS21212,BG3,26.6686666666667,-82.416
WS22281,BG3,26.6675,-82.4198333333333
WS19266,BG4,26.628,-82.5568333333333
WS19322,BG4,26.6271666666667,-82.5541666666667
WS20231,BG4,26.6326666666667,-82.5568333333333
WS21151,BG4,26.6303333333333,-82.5573333333333
WS21212,BG4,26.63,-82.5558333333333
WS22281,BG4,26.6301666666667,-82.5573333333333
WS20006,BG5,26.624,-82.5598333333333
WS15264,BK1,24.7488333333333,-81.9471666666667
WS1102,BLOOM,24.3548333333333,-82.2458333333333
WS21151,CAL.A,26.3265,-82.4845
WS0923,CAL01,26.427,-81.9596666666667
WS0923,CAL05,26.1835,-82.2195
WS0603,CAL1,26.4271666666667,-81.9605
WS0612,CAL1,26.426,-81.9598333333333
WS0618,CAL1,26.4273333333333,-81.9606666666667
WS0623,CAL1,26.4265,-81.9595
WS0704,CAL1,26.4241666666667,-81.963
WS0718,CAL1,26.4275,-81.959
WS0802,CAL1,26.427,-81.9611666666667
WS0807,CAL1,26.4273333333333,-81.9601666666667
WS0901,CAL1,26.4246666666667,-81.9598333333333
WS0906,CAL1,26.425,-81.9583333333333
WS0919,CAL1,26.4268333333333,-81.9598333333333
WS1007,CAL1,26.4258333333333,-81.9593333333333
WS1015,CAL1,26.4268333333333,-81.9596666666667
WS1018,CAL1,26.4263333333333,-81.9593333333333
WS18285,CAL1,26.4263333333333,-81.9598333333333
WS19028,CAL1,26.4251666666667,-81.96
WS19119,CAL1,26.4268333333333,-81.962
WS19210,CAL1,26.426,-81.9603333333333
WS19266,CAL1,26.4268333333333,-81.9598333333333
WS19322,CAL1,26.4246666666667,-81.9581666666667
WS20006,CAL1,26.4273333333333,-81.9608333333333
WS20231,CAL1,26.4261666666667,-81.9561666666667
WS21151,CAL1,26.4258333333333,-81.9601666666667
WS21212,CAL1,26.427,-81.9603333333333
WS22281,CAL1,26.4205,-81.9556666666667
WS0603,CAL2,26.3835,-82
WS0612,CAL2,26.383,-82
WS18285,CAL2,26.3838333333333,-82.0005
WS19028,CAL2,26.3861666666667,-81.997
WS19210,CAL2,26.3825,-82.003
WS19266,CAL2,26.3826666666667,-82.0018333333333
WS19322,CAL2,26.3818333333333,-82.0003333333333
WS20006,CAL2,26.3823333333333,-81.9988333333333
WS20231,CAL2,26.3846666666667,-81.9983333333333
WS21151,CAL2,26.3833333333333,-82.0005
WS21212,CAL2,26.3835,-81.9996666666667
WS22281,CAL2,26.384,-81.9998333333333
WS0603,CAL3,26.3421666666667,-82.0435
WS0612,CAL3,26.3415,-82.0426666666667
WS1015,CAL3,26.3423333333333,-82.0428333333333
WS18285,CAL3,26.3418333333333,-82.0421666666667
WS19028,CAL3,26.3426666666667,-82.0416666666667
WS19119,CAL3,26.3386666666667,-82.0436666666667
WS19210,CAL3,26.3413333333333,-82.0465
WS19266,CAL3,26.3416666666667,-82.046
WS19322,CAL3,26.3395,-82.0446666666667
WS20006,CAL3,26.3398333333333,-82.0433333333333
WS20231,CAL3,26.344,-82.0425
WS21151,CAL3,26.3435,-82.0466666666667
WS21212,CAL3,26.3418333333333,-82.0423333333333
WS22281,CAL3,26.3388333333333,-82.0486666666667
WS0603,CAL4,26.2583333333333,-82.1331666666667
WS0612,CAL4,26.2585,-82.134
WS0906,CAL4,26.2575,-82.131
WS1015,CAL4,26.2596666666667,-82.133
WS18285,CAL4,26.2556666666667,-82.1378333333333
WS19028,CAL4,26.2546666666667,-82.1371666666667
WS19210,CAL4,26.2533333333333,-82.1401666666667
WS19266,CAL4,26.254,-82.1391666666667
WS19322,CAL4,26.2516666666667,-82.1378333333333
WS20006,CAL4,26.2518333333333,-82.1405
WS20231,CAL4,26.2563333333333,-82.1373333333333
WS21151,CAL4,26.254,-82.1378333333333
WS21212,CAL4,26.2553333333333,-82.1381666666667
WS22281,CAL4,26.2521666666667,-82.1381666666667
WS0603,CAL5,26.1831666666667,-82.2166666666667
WS0612,CAL5,26.1831666666667,-82.2171666666667
WS0618,CAL5,26.1848333333333,-82.2161666666667
